------------ PCB NO.: 13269-1
------------ ITEM   : 455.00G01.M006
------------ Model  : CEDAR14_H PILOT MB #6 S
 
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM3
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM2
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM1
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM4
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   PR4203
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   PR8258
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R1510
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R1701
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R1726
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R1902
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2005
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2010
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2013
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2015
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2023
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2025
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2414
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2415
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2418
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2436
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R2439
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R3021
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R3033
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R405
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R5208
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R5412
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R6203
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7303
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7312
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7518
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7601
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7612
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7628
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7631
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7632
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7633
63.10334.1DL                          CHIP RES 10K J 1/16W 0402                36   R7645
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R5202
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R2722
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R7610
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R7605
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R6207
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R5607
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4209
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4212
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4213
